aircraft_id,tail_number,aircraft_model,airline,status,creation_date
15550,CGEHV,B737-800,Air Canada,Active,2022-06-06T15:25:00.000
15549,CGEMV,B737-800,Air Canada,Active,2022-06-05T17:38:00.000
15548,JA786,B767-300,All Nippon Airways,Active,2022-06-04T23:49:00.000
15547,N949AN,B737-800,American Airlines,Active,2022-06-04T16:32:00.000
15546,N931NN,B737-800,American Airlines,Active,2022-06-03T15:59:00.000
15545,CGEHY,B737-800,Air Canada,Active,2022-06-02T20:06:00.000
15544,N306DU,A220-100,Delta Air Lines,Active,2022-06-02T16:12:00.000
15539,N7919A,B737-800,"Air Transport International, Inc.",Active,2022-05-31T22:25:00.000
15538,N241AZ,B767-200,"Air Transport International, Inc.",Active,2022-05-31T20:17:00.000
15537,CFWJS,B737-800,WestJet Airlines,Active,2022-05-30T19:53:00.000
15536,N944AN,B737-800,American Airlines,Active,2022-05-30T15:01:00.000
15535,N295SY,E175-,Delta Air Lines,Active,2022-05-28T16:15:00.000
15534,N304DU,A220-100,Delta Air Lines,Active,2022-05-28T16:10:00.000
15533,N957AN,B737-800,American Airlines,Active,2022-05-28T15:03:00.000
15532,N973AN,B737-800,American Airlines,Active,2022-05-28T14:59:00.000
15531,N309FR,A320-200,Frontier Airlines,Active,2022-05-27T17:47:00.000
15530,N409SY,E175-,Alaska Airlines,Active,2022-05-26T21:10:00.000
15529,N826NN,B737-800,American Airlines,Active,2022-05-26T16:33:00.000
15528,M1487A,B767-300,"Atlas Air, Inc",Active,2022-05-26T00:55:00.000
15527,N309DU,A220-100,Delta Air Lines,Active,2022-05-23T16:27:00.000
15526,CGWSA,B737-800,WestJet Airlines,Active,2022-05-22T19:21:00.000
15525,N425AN,A321-100,American Airlines,Active,2022-05-22T14:46:00.000
15524,ZKNZE,B787-9,Air New Zealand,Active,2022-05-22T07:00:00.000
15510,N907AN,B737-800,American Airlines,Active,2022-05-20T15:21:00.000
15509,VNA870,B787-9,Vietnam Airlines JSC,Active,2022-05-19T22:13:00.000
15508,N302DU,A220-100,Delta Air Lines,Active,2022-05-19T19:55:00.000
15507,N933NN,B737-800,American Airlines,Active,2022-05-19T19:39:00.000
15506,N961NN,B737-800,American Airlines,Active,2022-05-19T19:37:00.000
15505,N965NN,B737-800,American Airlines,Active,2022-05-19T19:21:00.000
15504,N535JB,A320-200,JetBlue Airways,Active,2022-05-19T14:42:00.000
15492,N868AS,CRJ-200,United Airlines,Active,2022-05-16T20:47:00.000
15491,N877AS,CRJ-200,United Airlines,Active,2022-05-16T20:33:00.000
15490,N913AK,B737-900,Alaska Airlines,Active,2022-05-16T14:33:00.000
15489,N301DU,A220-100,Delta Air Lines,Active,2022-05-15T15:18:00.000
15488,N979AN,B737-800,American Airlines,Active,2022-05-15T15:07:00.000
15487,N938NN,B737-800,American Airlines,Active,2022-05-15T14:55:00.000
15486,JA784A,B777-300,All Nippon Airways,Active,2022-05-14T17:48:00.000
15485,N851NN,B737-800,American Airlines,Active,2022-05-14T17:31:00.000
15484,N1361A,B767-300,"Atlas Air, Inc",Active,2022-05-14T12:54:00.000
15467,N973AK,B737-900,Alaska Airlines,Active,2022-05-12T18:19:00.000
15466,N310DU,A220-100,Delta Air Lines,Active,2022-05-12T17:15:00.000
15465,N303DU,A220-100,Delta Air Lines,Active,2022-05-12T17:00:00.000
15464,N454AL,A321-100,American Airlines,Active,2022-05-12T16:01:00.000
15463,N946NN,B737-800,American Airlines,Active,2022-05-12T15:28:00.000
15462,N934AN,B737-800,American Airlines,Active,2022-05-12T15:22:00.000
15461,N975AK,B737-900,Alaska Airlines,Active,2022-05-11T18:33:00.000
15460,CFRSE,B787-9,Air Canada,Active,2022-05-09T17:19:00.000
15459,N308DU,A220-100,Delta Air Lines,Active,2022-05-09T15:36:00.000
15458,N509SY,E175-,American Airlines,Active,2022-05-09T15:33:00.000
15457,N957NN,B737-800,American Airlines,Active,2022-05-09T15:20:00.000
15456,N63NM,E170-,Signature Flight Support,Active,2022-05-08T23:23:00.000
15455,N307DU,A220-100,Delta Air Lines,Active,2022-05-07T15:12:00.000
15454,CGHPQ,B787-8,Air Canada,Active,2022-05-07T15:00:00.000
15453,N468CA,CRJ-200,United Airlines,Active,2022-05-06T17:10:00.000
15452,N305DU,A220-100,Delta Air Lines,Active,2022-05-06T15:24:00.000
15451,N37510,B737-900,United Airlines,Active,2022-05-05T18:12:00.000
15450,N974AK,B737-900,Alaska Airlines,Active,2022-05-05T18:06:00.000
15449,N504SY,E175-,American Airlines,Active,2022-05-05T16:23:00.000
15448,N409AA,A321-100,American Airlines,Active,2022-05-05T16:21:00.000
15447,N971NN,B737-800,American Airlines,Active,2022-05-05T16:02:00.000
15446,N921NN,B737-800,American Airlines,Active,2022-05-05T15:56:00.000
15445,N926AK,B737-900,Alaska Airlines,Active,2022-05-04T14:35:00.000
15444,806,B787-8,Air Canada,Active,2022-05-04T12:22:00.000
15432,N935AK,B737-900,Alaska Airlines,Active,2022-05-02T16:55:00.000
15431,N874NN,B737-800,American Airlines,Active,2022-05-02T14:59:00.000
15430,N228PS,CRJ-200,United Airlines,Active,2022-05-01T17:25:00.000
15429,GVNYL,B787-9,Virgin Atlantic,Active,2022-05-01T17:05:00.000
15428,N408SY,E175-,Alaska Airlines,Active,2022-05-01T15:52:00.000
15427,N934AK,B737-900,Alaska Airlines,Active,2022-05-01T15:50:00.000
15426,N908NN,B737-800,American Airlines,Active,2022-05-01T14:49:00.000
15425,N947AN,B737-800,American Airlines,Active,2022-04-30T14:44:00.000
15424,N2105J,A321-100,JetBlue Airways,Active,2022-04-30T14:31:00.000
15409,N889AS,CRJ-200,United Airlines,Active,2022-04-28T18:27:00.000
15408,N218PS,CRJ-200,United Airlines,Active,2022-04-28T18:13:00.000
15407,N37506,B737-900,United Airlines,Active,2022-04-28T16:26:00.000
15406,N37516,B737-900,United Airlines,Active,2022-04-28T16:23:00.000
15405,N940AN,B737-800,American Airlines,Active,2022-04-28T15:45:00.000
15404,122,A220-100,Air Canada,Active,2022-04-27T08:27:00.000
15396,ECNRH,A330-200,Iberia,Active,2022-04-25T16:03:00.000
15395,N933AK,B737-900,Alaska Airlines,Active,2022-04-24T19:00:00.000
15394,N410SY,E175-,Alaska Airlines,Active,2022-04-24T15:31:00.000
15393,N985NN,B737-800,American Airlines,Active,2022-04-23T15:09:00.000
15392,ZK-NZQ,B787-9,Air New Zealand,Active,2022-04-23T10:53:00.000
15391,JA793A,B777-300,All Nippon Airways,Active,2022-04-22T12:14:00.000
15390,N893NN,B737-800,American Airlines,Active,2022-04-21T15:29:00.000
15389,ZK-NZJ,B787-9,Air New Zealand,Active,2022-04-21T06:53:00.000
15388,N59053,B767-300,United Airlines,Active,2022-04-20T20:35:00.000
15387,ZK - NZM,B787-9,Air New Zealand,Active,2022-04-19T05:01:00.000
15386,N338NW,A320-200,Delta Air Lines,Active,2022-04-17T15:29:00.000
15385,N885NN,B737-800,American Airlines,Active,2022-04-17T15:19:00.000
15384,JA797A,B777-300,All Nippon Airways,Active,2022-04-17T11:48:00.000
15370,N606UX,E175-,United Airlines,Active,2022-04-15T16:53:00.000
15369,N415AN,A321-100,American Airlines,Active,2022-04-15T15:27:00.000
15368,N856NN,B737-800,American Airlines,Active,2022-04-14T16:19:00.000
15367,N317PG,B737-800,American Airlines,Active,2022-04-14T16:11:00.000
15366,B-18775,B777-300,China Airlines,Active,2022-04-14T02:35:00.000
15365,JA796A,B777-300,All Nippon Airways,Active,2022-04-12T08:40:00.000
15364,N47524,B737-900,United Airlines,Active,2022-04-11T19:03:00.000
15363,JA788A,B777-300,All Nippon Airways,Active,2022-04-10T11:33:00.000
15362,N347FR,A320-200,Frontier Airlines,Active,2022-04-08T16:45:00.000
15361,N899UA,A319-,United Airlines,Active,2022-04-08T16:00:00.000
15360,N407SY,E175-,Alaska Airlines,Active,2022-04-08T15:58:00.000
15359,N342NW,A320-200,Delta Air Lines,Active,2022-04-07T17:45:00.000
15358,N314PD,B737-800,American Airlines,Active,2022-04-07T16:21:00.000
15357,N803NN,B737-800,American Airlines,Active,2022-04-07T16:18:00.000
15356,N854AS,CRJ-200,Skywest Airlines,Active,2022-04-07T14:29:00.000
15355,N233AZ,B767-200,"Air Transport International, Inc.",Active,2022-04-06T20:06:00.000
15354,N27509,B737-900,United Airlines,Active,2022-04-04T16:34:00.000
15353,N431AN,A321-100,American Airlines,Active,2022-04-02T15:31:00.000
15352,N27519,B737-900,United Airlines,Active,2022-04-01T14:55:00.000
15351,N822NN,B737-800,American Airlines,Active,2022-04-01T14:18:00.000
15350,N923AN,B737-800,American Airlines,Active,2022-04-01T14:17:00.000
15349,N853NN,B737-800,American Airlines,Active,2022-04-01T14:15:00.000
15348,N831NW,A330-300,Delta Air Lines,Active,2022-03-31T18:26:00.000
15347,N406SY,E175-,Alaska Airlines,Active,2022-03-31T18:23:00.000
15346,N444UW,A321-100,American Airlines,Active,2022-03-31T16:50:00.000
15345,N432AN,A321-100,American Airlines,Active,2022-03-31T16:48:00.000
15344,ZK-NZR,B787-9,Air New Zealand,Active,2022-03-29T07:58:00.000
15329,N842NN,B737-800,American Airlines,Active,2022-03-25T15:16:00.000
15328,N2043J,A321-100,JetBlue Airways,Active,2022-03-25T15:10:00.000
15327,N554JB,A320-200,JetBlue Airways,Active,2022-03-25T15:05:00.000
15326,N64844,B737-900,United Airlines,Active,2022-03-24T16:35:00.000
15325,N416AN,A321-100,American Airlines,Active,2022-03-24T16:01:00.000
15324,N124AA,A321-100,American Airlines,Active,2022-03-24T15:30:00.000
15323,N615UX,E175-,United Airlines,Active,2022-03-21T16:25:00.000
15322,N903NN,B737-800,American Airlines,Active,2022-03-21T15:48:00.000
15321,N536JB,A320-200,JetBlue Airways,Active,2022-03-21T15:38:00.000
15320,N605UX,E175-,United Airlines,Active,2022-03-20T16:19:00.000
15319,N932NN,B737-800,American Airlines,Active,2022-03-20T15:36:00.000
15318,N611UX,E175-,Skywest Airlines,Active,2022-03-19T14:02:00.000
15317,ZK-NZG,B787-9,Air New Zealand,Active,2022-03-19T12:02:00.000
15316,B16722,B777-300,EVA Airways,Active,2022-03-19T11:56:00.000
15315,N861NW,A330-200,Delta Air Lines,Active,2022-03-18T16:39:00.000
15314,N915EV,CRJ-200,United Airlines,Active,2022-03-17T18:06:00.000
15313,N603UX,EMB-170,United Airlines,Active,2022-03-17T18:03:00.000
15312,N149FE,B767-300,Federal Express,Active,2022-03-17T02:33:00.000
15311,N618UX,E175-,Skywest Airlines,Active,2022-03-16T13:22:00.000
15310,B16781,B777-200,EVA Airways,Active,2022-03-15T16:30:00.000
15309,N142DU,A220-100,Delta Air Lines,Active,2022-03-14T16:29:00.000
15308,CGJNZ,CRJ-900,Air Canada,Active,2022-03-14T16:26:00.000
15307,N968AN,B737-800,American Airlines,Active,2022-03-13T16:17:00.000
15306,N823NN,B737-800,American Airlines,Active,2022-03-13T16:15:00.000
15305,N435AN,A321-100,American Airlines,Active,2022-03-13T16:13:00.000
15304,N662JB,A320-200,JetBlue Airways,Active,2022-03-13T15:31:00.000
15284,N928AK,B737-900,Alaska Airlines,Active,2022-03-10T17:55:00.000
15283,N441UW,A321-100,American Airlines,Active,2022-03-10T16:40:00.000
15282,N915NN,B737-800,American Airlines,Active,2022-03-10T15:43:00.000
15281,N608UX,E175-,Skywest Airlines,Active,2022-03-10T13:45:00.000
15280,N710UX,EMB-170,Skywest Airlines,Active,2022-03-09T16:05:00.000
15279,N617UX,EMB-170,Skywest Airlines,Active,2022-03-09T16:03:00.000
15278,N726FD,A300-B4/C4,Federal Express,Active,2022-03-07T22:47:00.000
15277,ZK-NZK,B787-9,Air New Zealand,Active,2022-03-07T22:31:00.000
15276,N353DN,A321-100,Delta Air Lines,Active,2022-03-06T15:34:00.000
15275,N802NN,B737-800,American Airlines,Active,2022-03-06T15:20:00.000
15274,N991NN,B737-800,American Airlines,Active,2022-03-05T15:41:00.000
15273,N436AN,A321-100,American Airlines,Active,2022-03-04T17:59:00.000
15272,N338DN,A321-100,Delta Air Lines,Active,2022-03-04T17:41:00.000
15271,N356DN,A321-100,Delta Air Lines,Active,2022-03-04T17:25:00.000
15270,N982AN,B737-800,American Airlines,Active,2022-03-03T18:22:00.000
15269,N8801Q,B737-800,Southwest Airlines,Active,2022-03-03T18:18:00.000
15268,N324RA,B737-800,American Airlines,Active,2022-03-03T18:13:00.000
15267,N678FE,A300-600,Federal Express,Active,2022-03-01T23:22:00.000
15266,N7737E,B737-700,Southwest Airlines,Active,2022-02-28T16:25:00.000
15265,N795AX,B767-200,ABX Air,Active,2022-02-28T00:46:00.000
15264,N918NN,B737-800,American Airlines,Active,2022-02-27T15:25:00.000
15245,N958AN,B737-800,American Airlines,Active,2022-02-24T15:54:00.000
15244,N487MC,B747-400,"Atlas Air, Inc",Active,2022-02-23T20:34:00.000
15228,N864NN,B737-800,American Airlines,Active,2022-02-20T15:27:00.000
15227,N843NN,B737-800,American Airlines,Active,2022-02-19T15:11:00.000
15226,N274SY,E175-,Delta Air Lines,Active,2022-02-17T17:31:00.000
15225,N308DN,A321-100,Delta Air Lines,Active,2022-02-17T17:03:00.000
15224,N102DN,A321-100,Delta Air Lines,Active,2022-02-17T16:58:00.000
15212,N111ZM,A321-100,American Airlines,Active,2022-02-10T16:22:00.000
15211,N7933A,B737-800,Sun Country Airlines,Active,2022-02-09T09:06:00.000
15210,N918AK,B737-900,Alaska Airlines,Active,2022-02-08T17:46:00.000
15209,N5683A,B737-800,Sun Country Airlines,Active,2022-02-08T14:59:00.000
15208,N1327A,B767-200,"Atlas Air, Inc",Active,2022-02-08T11:58:00.000
15207,N508JL,A320-200,JetBlue Airways,Active,2022-02-07T15:01:00.000
15206,N443AZ,B767-200,"Air Transport International, Inc.",Active,2022-02-06T11:22:00.000
15205,N123DW,A321-100,Delta Air Lines,Active,2022-02-05T17:24:00.000
15204,N923NN,B737-800,American Airlines,Active,2022-02-05T17:19:00.000
15188,N428AN,A321-100,American Airlines,Active,2022-02-03T16:40:00.000
15187,N775JB,A320-200,JetBlue Airways,Active,2022-02-03T16:20:00.000
15186,N434AN,A321-100,American Airlines,Active,2022-02-03T15:50:00.000
15185,N967AN,B737-800,American Airlines,Active,2022-02-03T15:42:00.000
15184,N8011A,B737-800,Sun Country Airlines,Active,2022-02-02T17:29:00.000
15173,N624UX,E175-,United Airlines,Active,2022-01-30T18:01:00.000
15172,N614UX,E175-,United Airlines,Active,2022-01-29T16:46:00.000
15171,N291SY,E175-,Delta Air Lines,Active,2022-01-29T15:17:00.000
15170,N370DN,A321-100,Delta Air Lines,Active,2022-01-29T15:04:00.000
15169,N616UX,E175-,United Airlines,Active,2022-01-28T15:40:00.000
15168,N420AN,A321-100,American Airlines,Active,2022-01-27T18:28:00.000
15167,N418AN,A321-100,American Airlines,Active,2022-01-27T18:27:00.000
15166,N404AN,A321-100,American Airlines,Active,2022-01-27T18:21:00.000
15165,N121AN,A319-,American Airlines,Active,2022-01-27T17:13:00.000
15164,N593JB,A320-200,JetBlue Airways,Active,2022-01-27T16:31:00.000
15144,N746JB,A320-200,JetBlue Airways,Active,2022-01-23T17:05:00.000
15131,N423AN,A321-100,American Airlines,Active,2022-01-20T19:15:00.000
15130,N410AN,A321-100,American Airlines,Active,2022-01-20T19:13:00.000
15129,N620UX,E175-,Skywest Airlines,Active,2022-01-20T16:43:00.000
15128,N613UX,E175-,United Airlines,Active,2022-01-20T15:56:00.000
15127,N306DN,A321-100,Delta Air Lines,Active,2022-01-20T15:49:00.000
15126,N607UX,E175-,United Airlines,Active,2022-01-20T15:46:00.000
15125,N619UX,E175-,United Airlines,Active,2022-01-20T15:42:00.000
15124,XADRA,B737-800,Aeromexico,Active,2022-01-20T15:32:00.000
15105,N372DN,A320-200,Delta Air Lines,Active,2022-01-17T18:00:00.000
15104,CGEKH,B737-900,Air Canada,Active,2022-01-17T12:00:00.000
15092,A7ANM,A350-1000,Qatar Airways,Active,2022-01-13T18:26:00.000
15091,N8720L,B737-800,Southwest Airlines,Active,2022-01-13T16:12:00.000
15090,N176FE,B767-300,Federal Express,Active,2022-01-12T09:07:00.000
15089,N269FE,B767-300,Federal Express,Active,2022-01-12T02:32:00.000
15088,N921AK,B737-900,Alaska Airlines,Active,2022-01-10T16:50:00.000
15087,N118DY,A321-100,Delta Air Lines,Active,2022-01-09T20:02:00.000
15086,N296SY,E175-,Delta Air Lines,Active,2022-01-08T20:37:00.000
15085,N121DZ,A321-100,Delta Air Lines,Active,2022-01-08T20:20:00.000
15084,N389DN,A321-100,Delta Air Lines,Active,2022-01-08T20:04:00.000
15077,N136AN,A321-100,American Airlines,Active,2022-01-07T18:49:00.000
15076,ZK-NZC,B787-9,Air New Zealand,Active,2022-01-07T09:39:00.000
15075,N166FX,B767-200,Federal Express,Active,2022-01-07T03:25:00.000
15074,N258PS,CRJ-200,United Airlines,Active,2022-01-06T20:13:00.000
15073,N402AN,A321-100,American Airlines,Active,2022-01-06T19:00:00.000
15072,N806JB,A320-200,JetBlue Airways,Active,2022-01-06T18:26:00.000
15071,N335SN,B737-800,American Airlines,Active,2022-01-06T18:05:00.000
15070,N744AX,B767-200,ABX Air,Active,2022-01-06T05:20:00.000
15069,N914EV,CRJ-200,Skywest Airlines,Active,2022-01-04T23:26:00.000
15068,N810NN,B737-800,American Airlines,Active,2022-01-02T19:55:00.000
15067,N919AK,B737-900,Alaska Airlines,Active,2022-01-02T16:28:00.000
15066,N912EV,CRJ-200,Skywest Airlines,Active,2022-01-01T11:52:00.000
15065,N916EV,CRJ-200,United Airlines,Active,2021-12-31T18:34:00.000
15064,N7856A,B737-700,Southwest Airlines,Active,2021-12-30T16:30:00.000
15049,N437AN,A321-100,American Airlines,Active,2021-12-27T17:39:00.000
15048,N652JB,A320-200,JetBlue Airways,Active,2021-12-27T17:06:00.000
15047,N291BT,B737-900,Alaska Airlines,Active,2021-12-26T18:03:00.000
15046,N639QX,E175-,Horizon Air,Active,2021-12-26T17:46:00.000
15045,EI-EIN,A330-300,"Aer Lingus, Ltd.",Active,2021-12-26T11:33:00.000
15044,N924AK,B737-900,Alaska Airlines,Active,2021-12-25T20:16:00.000
15034,N915AK,B737-900,Alaska Airlines,Active,2021-12-24T20:55:00.000
15033,N956AN,B737-800,American Airlines,Active,2021-12-24T17:47:00.000
15032,N433AN,A321-100,American Airlines,Active,2021-12-24T17:42:00.000
15031,N8719Q,B737-700,Southwest Airlines,Active,2021-12-24T17:21:00.000
15030,N317AZ,B767-200,"Air Transport International, Inc.",Active,2021-12-23T23:37:00.000
15029,N938AN,B737-800,American Airlines,Active,2021-12-23T17:19:00.000
15028,N306SW,B737-800,American Airlines,Active,2021-12-23T16:17:00.000
15027,N7869A,B737-700,Southwest Airlines,Active,2021-12-23T16:02:00.000
15026,N558JB,A320-200,JetBlue Airways,Active,2021-12-23T14:44:00.000
15025,N509JB,A320-200,JetBlue Airways,Active,2021-12-23T14:30:00.000
15024,N837SY,B737-800,Sun Country Airlines,Active,2021-12-23T04:38:00.000
15022,JA877A,B787-9,All Nippon Airways,Active,2021-12-19T12:07:00.000
15021,ZK-MZM,B787-9,Air New Zealand,Active,2021-12-18T06:01:00.000
15020,N861NN,B737-800,American Airlines,Active,2021-12-17T14:22:00.000
15019,HP9906,B737-900,"COPA Airlines, Inc.",Active,2021-12-16T18:53:00.000
15018,N430AN,A321-100,American Airlines,Active,2021-12-16T18:12:00.000
15017,N836NN,B737-800,American Airlines,Active,2021-12-16T18:01:00.000
15016,N886NN,B737-800,American Airlines,Active,2021-12-16T17:56:00.000
15015,N8650F,B737-800,Southwest Airlines,Active,2021-12-16T17:46:00.000
15014,N8745K,B737-800,Southwest Airlines,Active,2021-12-16T17:44:00.000
15013,LNRKM,A330-300,SAS Airlines,Active,2021-12-15T09:38:00.000
15012,N438AN,A321-100,American Airlines,Active,2021-12-13T18:49:00.000
15011,N1373A,B767-300,"Atlas Air, Inc",Active,2021-12-13T08:08:00.000
15010,N324SH,B737-800,American Airlines,Active,2021-12-12T15:10:00.000
